code,libelle,nb_total_de_sejours_seances,nb_de_sejourshors_ghm_en_j_ou_t_et_seances,dms_en_nuitee_hors_ghm_en_j_ou_tet_seances,nb_de_sejours_ghm_en_j_ou_t_hors_seances,nb_de_nuiteesen_ghm_j_ou_t,nb_de_seances
,Total,172529,106090,,66439,,0
40100000,Affection de la glande thyroïde,21147,15656,305,5491,501,0
40200000,Diabète sucré,106349,81298,679,25051,6019,0
40300000,Autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne,5964,2838,675,3126,1833,0
40400000,Maladies des autres glandes endocrines,24232,10313,565,13919,865,0
40500000,Malnutrition,19367,14364,1386,5003,531,0
40600000,Autre carences nutritionnelles,4412,1609,1388,2803,177,0
40700000,Obésités et autre excès d'apport,36389,21364,321,15025,,0
40800000,Anomalies du métabolisme,71344,45610,869,25734,13430,0
,Total,289204,193052,,96152,,0
50100000,"Troubles mentaux organiques, y compris les troubles symptomatiques",80649,33057,1448,47592,4193,0
50200000,Troubles mentaux et du comportement liés à l'utilisation de substances psycho-actives,141516,86786,332,54730,7485,0
50300000,"Schyzophrénies, trouble schyzotique et troubles délirants",23584,7563,717,16021,9011,0
50400000,Troubles de l'humeur [affectifs],40179,16230,765,23949,13334,0
50500000,"Troubles névrotiques, troubles liés à des facteurs de stress et troubles somatoformes",43463,16370,822,27093,12629,0
50600000,Syndromes comportementaux associés à des perturbations physiologiques et à des facteurs physiques,8336,4608,2067,3728,205,0
50700000,Trouble de la personnalité et d comportement chez l'adulte,12987,6978,742,6009,3377,0
50800000,Retard mental,860,108,555,752,127,0
50900000,Troubles du développement psychologique,5916,4511,31,1405,131,0
51000000,Troubles du comportement et troubles émotionnels apparaissant habituellement durant l'enfance et l'adolescence,11403,7419,403,3984,1997,0
,Total,368893,183630,,185263,,0
60100000,Maladies inflammatoires du système nerveux central,11550,10284,1343,1266,412,0
60200000,Affections dégénératives sytématiques affectant principalement le système nerveux central,4725,2979,935,1746,0,0
60300000,Syndromes extrapyramidaux et troubles de la motricité,26230,10025,1027,16205,432,0
60400000,Autres affections dégénératives du système nerveux,11257,4824,1384,6433,0,0
60500000,Maladies démyélinisantes du système nerveux central,6629,4479,747,2150,0,0
60600000,Affections épisodiques et paroxistiques,119897,60636,627,59261,33548,0
60700000,Affections des nerfs et des racines et plexus nerveux,75470,14950,555,60520,2484,0
60800000,Polynévrites et autres affections du système nerveux périphérique,9737,6703,1225,3034,591,0
60900000,Affections musculaires et neuro-musculaires,4171,2772,1021,1399,126,0
61000000,Paralysies cérébrales et autre syndromes paralytiques,16226,8081,894,8145,1034,0
61100000,Autres affections du système nerveux,26121,19764,829,6357,817,0
,Total,312013,145497,,166516,,0
70100000,"Affections de la paupière, de l'appareil lacrymal et de l'orbite",20248,3623,265,16625,0,0
70200000,Affections de la conjonctive,4520,573,282,3947,0,0
70300000,"Affections de la scéloritique, de la cornée, de l'iris et du corps ciliaire",13866,8117,408,5749,0,0
70400000,Affections du cristallin,296935,10245,135,286690,0,0
70500000,Affections de la choroïde et de la rétine,30712,7735,303,22977,0,0
70600000,Glaucome,13128,2870,215,10258,0,0
70700000,Affections du corps vitré et du globe oculaire,5556,2625,478,2931,0,0
70800000,Affections du nerf et des voies optiques,3761,2392,574,1369,212,0
70900000,"Affections des muscles oculaires, des mouvements binoculaires, de l'accomodation et de la réfraction",7058,1771,434,5287,0,0
71000000,Troubles de la vision et cécité,7069,4393,321,2676,0,0
71100000,Autres affections de l'oeil et de ses annexes,2395,1126,254,1269,0,0
,Total,405248,45470,,359778,,0
80100000,Maladies de l'oreille externe,3805,1862,591,1943,391,0
80200000,Maladies de l'oreille moyenne et de l'apophyse mastoïde,34485,8813,275,25672,1946,0
80300000,Maladies de l'oreille interne,34527,11051,496,23476,10728,0
80400000,Autres affections de l'oreille,7881,2765,193,5116,368,0
,Total,80698,24491,,56207,,0
90100000,Rhumatisme articulaire aigu,50,37,997,13,,0
90200000,Cardiopathies rhumatismales chroniques,1388,1188,1210,200,46,0
90300000,Maladies hypertensives,32825,18783,864,14042,6525,0
90400000,Cardiopathies ischémiques,254877,153426,491,101451,26516,0
90500000,Affections cardiopulmonaires et maladies et de la circulation pulmonaire,52075,37880,889,14195,11641,0
90600000,Autres formes de cardiopathies,440438,325377,833,115061,62044,0
90700000,Maladies cérébrovasculaires,169195,145373,1069,23822,10258,0
90800000,"Maladies des artères, artérioles et capillaires",96123,72039,855,24084,9455,0
90900000,"Maladies des veines, des vaisseaux et des ganglions lymphatiques non classées ailleurs",92041,23838,634,68203,5960,0
91000000,Troubles autres et non précisés de l'appareil circulatoire,30927,23315,868,7612,2974,0
,Total,1169939,801256,,368683,,0
100100000,Affections aiguës des voies respiratoires supérieures,39726,15657,336,24069,13542,0
100200000,Grippe et pneumopathie,252714,195634,864,57080,37245,0
100300000,Autres affections aiguës des voies respiratoires inférieures,57254,30719,620,26535,25731,0
100400000,Autres maladies des voies respiratoires supérieures,96257,43027,230,53230,3429,0
100500000,Maladies chroniques des voies respiratoires inférieures,159988,113123,698,46865,19587,0
100600000,Maladies du poumon dues à des agents externes,34179,29796,1065,4383,2901,0
100700000,Autres maladies respiratoires touchant principalement le tissu interstitiel,18026,14639,1056,3387,,0
100800000,Maladies suppurées et nécrotiques des voies respiratoires inférieures,6540,6039,1466,501,274,0
100900000,Autres affections de la plèvre,34618,26674,783,7944,1468,0
101000000,Autres maladies de l'appareil respiratoire,54597,47390,981,7207,1291,0
,Total,753899,522698,,231201,,0
110100000,"Maladies de la cavité buccale, des glandes salivaires et des maxillaires",120922,20325,325,100597,1019,0
110200000,"Maladies de l'oesophage, de l'estomac et du duodénum",170237,60367,495,109870,11416,0
110300000,Maladies de l'appendice,57854,52639,323,5215,2250,0
110400000,Hernies,133996,56408,382,77588,2578,0
110500000,Entérites et colites non infectieuses,46896,23176,695,23720,4450,0
110600000,Autres maladies de l'intestin,324421,186547,513,137874,30667,0
110700000,Maladies du péritoine,12183,9977,1128,2206,958,0
110800000,Maladies du foie,44237,34238,1097,9999,1143,0
110900000,"Maladies de la vésicule biliaire, des voies biliaires et du pancréas",186465,129360,649,57105,18665,0
111000000,Autres maladies de l'appareil digestif,31977,20948,819,11029,5485,0
,Total,1129188,593985,,535203,,0
120100000,Infections de la peau et du tissu cellulaire sous-cutané,73222,34930,617,38292,5359,0
120200000,Dermatoses bulleuses,3237,2605,1113,632,142,0
120300000,Dermatoses et eczémas,10420,8040,704,2380,203,0
120400000,Lésions papulo-squameuses,2791,1924,690,867,57,0
120500000,Urticaire et érythème,6670,4381,498,2289,224,0
120600000,Affections de la peau et du tissu cellulaire sous-cutané liées à une irradiation,2016,246,661,1770,0,0
120700000,Maladies des phanères et des annexes de la peau,19914,2122,314,17792,0,0
120800000,Autres affections de la peau et du tissu cellulaire sous-cutané,46732,23850,1128,22882,49,0
,Total,165002,78098,,86904,,0
130100000,Arthropathies,242374,167152,578,75222,1326,0
130200000,Affections disséminées du tissu conjonctif,18578,14320,833,4258,54,0
130300000,Dorsopathies,118234,75069,701,43165,15597,0
130400000,Affections des tissus mous,89335,30424,517,58911,501,0
130500000,Ostéopathies et chondropathies,58140,43801,1105,14339,1316,0
130600000,"Autres maladies du système ostéo-articulaire, des muscles et du tissu conjonctifd",13536,11726,1003,1810,582,0
,Total,540197,342492,,197705,,0
140100000,Glomérulopathies,10402,9227,633,1175,0,0
140200000,Maladies rénales tubulo-interstitielles,113987,97480,623,16507,1659,0
140300000,Insuffisance rénale,57549,40568,1080,16981,5367,0
140400000,Lithiases urinaires,95935,30834,260,65101,12586,0
140500000,Autres affection su rein et de l'uretère,4444,3466,560,978,13,0
140600000,Autres maladies de l'appareil urinaire,85150,60039,673,25111,82,0
140700000,Maladies des organe génitaux de l'homme,106429,61845,592,44584,5264,0
140800000,Affection du sein,15647,11418,179,4229,904,0
140900000,Affections inflammatoires des organes pelviens de la femme,19184,12215,343,6969,708,0
141000000,Affections non inflammatoires de l'appareil génital de la femme,128783,79978,118,48805,5027,0
141100000,Autres affections de l'appareil génito-urinaire,2225,1572,519,653,27,0
,Total,639735,408642,,231093,,0
150100000,Grossesse se terminant par un avortement,196966,164213,27,32753,3727,0
150200000,"Oedème, protéinurie et hypertension au cours de la grossesse, de l'accouchement et de la puerpéralité",17665,16125,636,1540,87,0
150300000,Autres affections maternelles liées principalement à la grossesse,74752,39776,384,34976,942,0
150400000,"Soins maternels liés au foetus et à la cavité amniotique, et problèmes possibles posés par l'accouchement",162789,137031,493,25758,6646,0
150500000,Complications du travail et de l'accouchement,234203,227510,491,6693,3620,0
150600000,Accouchement,169512,167847,401,1665,1173,0
150700000,Complications principalement liées à la puerpéralité,3971,3050,437,921,514,0
150800000,"Autres problèmes obstétricaux, non classés ailleurs",16851,12028,399,4823,157,0
,Total,876709,767580,,109129,,0
160100000,"Fœtus et nouveau-né affectés par des troubles maternels et par des complications de la grossesse, du travail et de l'accouchement",12518,12492,524,26,0,0
160200000,Anomalies liées à la durée de la gestation et à la croissance du fœtus,35746,35746,1779,0,0,0
160300000,Traumatismes obstétricaux,602,570,486,32,,0
160400000,Affections respiratoires et cardio-vasculaires spécifiques de la période périnatale,25854,25773,1180,81,22,0
160500000,Infections spécifiques de la période périnatale,2666,2637,654,29,14,0
160600000,Affections hémorragiques et hématologiques du fœtus et du nouveau-né,14199,14190,541,,,0
160700000,Anomalies endocriniennes et métaboliques transitoires spécifiques du fœtus et du nouveau-né,4769,4769,612,0,0,0
160800000,Affections de l'appareil digestif du fœtus et du nouveau-né,1557,1549,1323,,0,0
160900000,Affections intéressant les téguments et la régulation themique du fœtus et du nouveau-né,1855,1586,348,269,26,0
161000000,Autres affections dont l'origine se situe dans la période périnatale,15410,15378,383,32,,0
,Total,115176,114690,,486,,0
170100000,Malformation congénitales du système nerveux,2117,1157,745,960,112,0
170200000,"Malformation congénitales de l'œil, de l'oreille, de la face et du cou",8416,2023,191,6393,29,0
170300000,Malformation congénitales de l'appareil circulatoire,17450,13718,622,3732,346,0
170400000,Malformation congénitales de l'appareil respiratoire,1636,1069,823,567,182,0
170500000,Fente labiale et fente palatine,2640,1433,379,1207,1155,0
170600000,Autres malformations congénitales de l'appareil digestif,5605,3003,1106,2602,326,0
170700000,Malformations congénitales des organes génitaux,12404,3280,202,9124,19,0
170800000,Malformations congénitales de l'appareil urinaire,3158,2205,533,953,0,0
170900000,Malformations congénitales du système ostéo-articulaire et des muscles,9137,4563,641,4574,393,0
171000000,Autres malformations congénitales,4846,2433,489,2413,27,0
171100000,"Anomalies chomosomiques, non classées ailleurs",901,299,1147,602,,0
,Total,68310,35183,,33127,,0
180100000,Symptômes et signes relatifs aux appareils circulatoire et respiratoire,184183,68986,230,115197,37745,0
180200000,Symptômes et signes relatifs à l'appareil digestif et à l'abdomen,205318,34987,390,170331,47619,0
180300000,Symptômes et signes relatifs à la peau et au tissu cellulaire sous-cutané,13872,4589,326,9283,3520,0
180400000,Symptômes et signes relatifs aux systèmes nerveux et ostéo-musculaire,51418,20554,970,30864,9219,0
180500000,Symptômes et signes relatifs à l'appareil urinaire,48086,24778,542,23308,10897,0
180600000,"Symptômes et signes relatifs à la connaissance, la perception, l'humeur et le comportement",91246,35066,673,56180,29521,0
180700000,Symptômes et signes relatifs au langage et à la voix,7106,2252,653,4854,2160,0
180800000,Symptômes et signes généraux,424643,138860,584,285783,62970,0
180900000,"Résultats anormaux de l'examen du sang, sans diagnostic",11161,4260,372,6901,1495,0
181000000,"Résultats anormaux de l'examen des urines, sans diagnostic",895,402,180,493,0,0
181100000,"Résultats anormaux de l'examen d'autres liquides, substances et tissus, sans diagnostic",811,118,198,693,39,0
181200000,"Résultats anormaux d'imagerie diagnostique et d'épreuves fonctionnelles, sans diagnostic",38741,13881,267,24860,1414,0
181300000,Causes de mortalité mal définies et inconnues,361,256,62,105,29,0
,Total,1077841,348989,,728852,,0
190100000,Lésions traumatiques de la tête,166569,139765,383,26804,1691,0
190200000,Lésions traumatiques du cou,11715,9305,848,2410,711,0
190300000,Lésions traumatiques du thorax,47722,34973,773,12749,7467,0
190400000,"Lésions traumatiques de l'abdomen, des lombes, du rachis lombaire et du bassin",70010,61071,792,8939,2914,0
190500000,Lésions traumatiques de l'épaule et du bras,62622,45753,451,16869,5462,0
190600000,Lésions traumatiques du coude et de l'avant-bras,75289,47226,278,28063,3497,0
190700000,Lésions traumatiques du poignet et de la main,68766,21913,191,46853,286,0
190800000,Lésions traumatiques de la hanche et de la cuisse,118959,105854,915,13105,6186,0
190900000,Lésions traumatiques du genou et de la jambe,83740,62161,530,21579,5288,0
191000000,Lésions traumatiques de la cheville et du pied,16236,10360,436,5876,1062,0
191100000,Lésions traumatiques de plusieurs parties du corps,211,84,995,127,56,0
191200000,"Lésions traumatiques de siège non précisé du tronc, membre au autre région du corps",31,16,1419,15,,0
191300000,Effets dus à un corps étranger ayant pénétré dans un orifice naturel,12331,5060,275,7271,3435,0
191400000,Brûlures et corrosions,12433,6263,1187,6170,1110,0
191500000,Gelures,44,34,824,,,0
191600000,Intoxications par des médicaments et des substances biologiques,88804,29276,556,59528,43904,0
191700000,Effets toxiques de substances d'origine essentielllement non médicinale,9103,6426,195,2677,1677,0
191800000,"Effets de causes externes, autres et non précisés",21047,8350,320,12697,6385,0
191900000,Certaines complications précoces des traumatismes,26807,22121,1299,4686,3533,0
192000000,"Complications de soins chirurgicaux et médicaux, non classées ailleurs",67257,47307,807,19950,6618,0
,Total,959696,663318,,296378,,0
210100000,Sujets en contact avex les services de santé pour des examens divers,1135267,686417,42,448850,13944,0
210200000,Sujets pouvant courir un risque lié à des maladies transmissibles,58447,56271,10,2176,683,0
210300000,Sujets ayant recours aux services de santé pour des motifs liés à la reproduction,546047,474196,353,71851,453,0
210400000,Sujets ayant recours aux services de santé pour des actes médicaux et des soins spécifiques,8728779,415499,567,442240,114120,7871040
210500000,Sujets dont la santé peut être menacée par des conditions socio-économiques et psycho-sociales,4752,2079,867,2673,1446,0
210600000,Sujets ayant recours aux services de santé pour d'autres motifs,95528,35572,898,59956,3048,0
210700000,Sujets dont la santé peut être menancée en raison d'antécédents personnels et familiaux et de certaines affections,176384,77332,87,99052,340,0
,Total,10745204,1747366,,1126798,,7871040
A00,Choléra,204,175,431,29,24,0
A01,Fièvres typhoïde et paratyphoïde,102,102,785,0,0,0
A02,Autres salmonelloses,3180,2790,581,390,288,0
A03,Shigellose,429,356,488,73,48,0
A04,Autres infections intestinales bactériennes,13181,11022,832,2159,1016,0
A05,"Autres intoxications bactériennes d'origine alimentaire, non classées ailleurs",1253,384,621,869,473,0
A06,Amibiase,123,104,1203,19,,0
A07,Autres maladies intestinales à protozoaires,379,309,840,70,42,0
A08,Infections virales intestinales et autres infections intestinales précisées,19698,10768,365,8930,7032,0
A09,Autres gastroentérites et colites d'origine infectieuse ou non précisée,55319,22678,566,32641,19947,0
"",Total,93868,48688,,45180,,0
A15,"Tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique",2906,2751,1980,155,0,0
A16,"Tuberculose de l'appareil respiratoire, sans confirmation bactériologique ou histologique",1261,1134,1258,127,,0
A17,Tuberculose du système nerveux,82,72,2292,,0,0
A18,Tuberculose d'autres organes,762,659,1278,103,,0
A19,Tuberculose miliaire,338,314,2343,24,,0
"",Total,5349,4930,,419,,0
A21,Tularémie,46,39,895,,,0
A23,Brucellose,26,24,1108,,0,0
A24,Morve et mélioïdose,14,12,1458,,0,0
A26,Érysipéloïde,129,70,891,59,38,0
A27,Leptospirose,778,764,802,14,0,0
A28,"Autres anthropozoonoses bactériennes, non classées ailleurs",516,281,868,235,32,0
"",Total,1512,1193,,319,,0
A30,Lèpre [maladie de Hansen],47,28,896,19,0,0
A31,Infections dues à d'autres mycobactéries,679,512,1317,167,25,0
A32,Listériose,326,316,1782,,,0
A36,Diphtérie,11,,,,,0
A37,Coqueluche,3043,2210,686,833,620,0
A38,Scarlatine,395,182,309,213,169,0
A39,Infection à méningocoques,469,439,968,30,,0
A40,Sepsis à streptocoques,2211,2076,1421,135,81,0
A41,Autres sepsis,14638,12986,1243,1652,1113,0
A42,Actinomycose,226,157,1046,69,,0
A43,Nocardiose,123,102,1783,21,,0
A44,Bartonellose,70,53,800,17,,0
A46,Érysipèle,27158,20977,1095,6181,4298,0
A48,"Autres maladies bactériennes, non classées ailleurs",1410,1327,1152,83,51,0
A49,"Infection bactérienne, siège non précisé",6225,5913,1065,312,74,0
"",Total,57037,47293,,9744,,0
A50,Syphilis congénitale,72,68,851,,,0
A51,Syphilis précoce,127,90,584,37,0,0
A52,Syphilis tardive,283,261,850,22,0,0
A53,"Syphilis, autres et sans précision",61,30,567,31,,0
A54,Infection gonococcique,175,126,640,49,20,0
A56,Autres infections à Chlamydia transmises par voie sexuelle,222,154,352,68,32,0
A58,Granulome inguinal,16,,,,,0
A60,Infection ano-génitale par le virus de l'herpès [herpes simplex],245,178,524,67,33,0
A63,"Autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs",3747,429,179,3318,17,0
"",Total,4969,1356,,3613,,0
A77,Fièvre pourprée [rickettsioses à tiques],35,31,571,,0,0
A78,Fièvre Q,127,119,713,,0,0
A79,Autres rickettsioses,35,30,600,,,0
"",Total,201,184,,17,,0
A81,"Infections atypiques à virus, du système nerveux central",341,322,2053,19,,0
A84,Encéphalite virale transmise par des tiques,35,35,1337,0,0,0
A85,"Autres encéphalites virales, non classées ailleurs",185,172,854,13,0,0
A86,"Encéphalite virale, sans précision",112,102,778,,0,0
A87,Méningite virale,4374,3018,513,1356,1124,0
A88,"Autres infections virales du système nerveux central, non classées ailleurs",74,,,65,28,0
"",Total,5129,3665,,1464,,0
A92,Autres fièvres virales transmises par des moustiques,29,20,1285,,,0
A93,"Autres fièvres virales transmises par des arthropodes, non classées ailleurs",14,11,436,,,0
A97,Dengue,1994,1482,428,512,294,0
A98,"Autres fièvres hémorragiques virales, non classées ailleurs",39,37,503,,,0
"",Total,2089,1559,,530,,0
B00,Infections par le virus de l'herpès [herpes simplex],2216,1992,620,224,37,0
B01,Varicelle,2217,2104,351,113,81,0
B02,Zona [herpes zoster],2688,2212,975,476,245,0
B04,Monkeypox,18,,,,,0
B05,Rougeole,158,144,406,14,11,0
B07,Verrues d'origine virale,448,12,175,436,0,0
B08,"Autres infections virales caractérisées par des lésions cutanéo-muqueuses, non classées ailleurs",1402,1178,225,224,108,0
B09,"Infection virale caractérisée par des lésions cutanéo-muqueuses, sans précision",161,134,360,27,20,0
"",Total,9313,7791,,1522,,0
B15,Hépatite aiguë A,674,645,450,29,0,0
B16,Hépatite aiguë B,222,209,755,13,0,0
B17,Autres hépatites virales aiguës,1804,1641,487,163,0,0
B18,Hépatite virale chronique,523,190,655,333,0,0
B19,"Hépatite virale, sans précision",215,179,283,36,0,0
"",Total,3438,2864,,574,,0
B20,"Immunodéficience humaine virale [VIH], à l'origine de maladies infectieuses et parasitaires",418,339,1987,79,16,0
B21,"Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes",47,36,2147,11,,0
B22,"Immunodéficience humaine virale [VIH], à l'origine d'autres affections précisées",95,82,2300,13,,0
B23,"Immunodéficience humaine virale [VIH], à l'origine d'autres maladies",287,126,1384,161,,0
B24,"Immunodéficience humaine virale [VIH], sans précision",1246,382,1648,864,18,0
"",Total,2093,965,,1128,,0
B25,Maladie à cytomégalovirus,696,616,981,80,37,0
B26,Oreillons,50,35,491,15,,0
B27,Mononucléose infectieuse,3076,2689,346,387,260,0
B30,Conjonctivite virale,43,24,275,19,0,0
B33,"Autres maladies à virus, non classées ailleurs",282,234,302,48,25,0
B34,"Infection virale, siège non précisé",3905,1700,407,2205,1432,0
"",Total,8052,5298,,2754,,0
B35,Dermatophytose,227,91,433,136,0,0
B36,Autres mycoses superficielles,219,155,513,64,0,0
B37,Candidose,1951,1629,1161,322,50,0
B39,Histoplasmose,44,35,2243,,,0
B44,Aspergillose,1682,1162,1142,520,40,0
B45,Cryptococcose,120,107,1859,13,,0
B46,Zygomycose,68,63,2310,,,0
B47,Mycétome,14,,,,0,0
B48,"Autres mycoses, non classées ailleurs",601,539,1610,62,23,0
"",Total,4937,3796,,1141,,0
B50,Paludisme à Plasmodium falciparum,2799,2053,462,746,560,0
B51,Paludisme à Plasmodium vivax,142,104,430,38,25,0
B52,Paludisme à Plasmodium malariae,77,54,644,23,19,0
B53,Autres paludismes confirmés par examen parasitologique,145,82,417,63,51,0
B54,"Paludisme, sans précision",333,123,394,210,155,0
B55,Leishmaniose,201,149,758,52,,0
B58,Toxoplasmose,191,168,2082,23,,0
"",Total,3898,2742,,1156,,0
B65,Schistosomiase [bilharziose],102,64,413,38,,0
B67,Échinococcose,163,143,1074,20,,0
B69,Cysticercose,19,16,806,,0,0
B74,Filariose,41,32,513,,,0
B78,Anguillulose [strongyloïdose],26,12,1042,14,,0
B80,Oxyurose,94,19,321,75,15,0
B82,"Parasitose intestinale, sans précision",25,12,750,13,,0
B83,Autres helminthiases,26,23,874,,0,0
"",Total,528,344,,184,,0
B85,Pédiculose et phtiriase,47,40,538,,0,0
B86,Gale,491,317,799,174,111,0
B87,Myiase,14,,,,0,0
B88,Autres infestations,17,15,787,,,0
"",Total,569,382,,187,,0
20101000,"Tumeurs malignes de la lèvre, de la cavité buccale et du pharynx",16880,11494,946,5386,,0
20102000,Tumeurs malignes des organes digestifs,94801,74516,1074,20285,5299,0
20103000,Tumeurs malignes des organes respiratoires et intrathoraciques,55110,38959,1084,16151,4374,0
20104000,Tumeurs malignes des os et du cartilage articulaire,2363,1790,1126,573,82,0
20105000,Mélanome malin et autres tumeurs malignes de la peau,51480,9178,398,42302,0,0
20106000,Tumeurs malignes du tissu mésothélial et des tissus mous,6349,4744,984,1605,187,0
20107000,Tumeurs malignes du sein,51042,28057,385,22985,0,0
20108000,Tumeurs malignes des organes génitaux de la femme,19920,16709,628,3211,433,0
20109000,Tumeurs malignes des organes génitaux de l'homme,25961,16553,498,9408,617,0
20110000,Tumeurs malignes des voies urinaires,41642,36979,564,4663,1181,0
20111000,"Tumeurs malignes de l'œil, du cerveau et d'autres parties du système nerveux central",10855,9509,1048,1346,367,0
20112000,Tumeurs malignes de la thyroïdes et d'autres glandes endocrines,8131,7126,359,1005,76,0
20113000,"Tumeurs malignes de sièges mal définis, secondaires et non précisés",64447,47320,959,17127,4236,0
20114000,"Tumeurs malignes primitives ou présumées primitives des tissus lymphoïde, hématopoïétique et apparentés",43568,34105,1591,9463,,0
,Total,492549,337039,,155510,,0
D00,"Carcinome in situ de la cavité buccale, de l'oesophage et de l'estomac",835,530,336,305,17,0
D01,"Carcinome in situ des organes digestifs, autres et non précisés",3753,3270,220,483,71,0
D02,Carcinome in situ de l'oreille moyenne et de l'appareil respiratoire,697,334,454,363,21,0
D03,Mélanome in situ,1078,183,296,895,,0
D04,Carcinome in situ de la peau,1878,190,321,1688,0,0
D05,Carcinome in situ du sein,5011,2130,245,2881,0,0
D06,Carcinome in situ du col de l'utérus,5204,809,149,4395,,0
D07,"Carcinome in situ d'organes génitaux, autres et non précisés",614,283,345,331,15,0
D09,Carcinome in situ de sièges autres et non précisés,1422,1254,348,168,,0
"",Total,20492,8983,,11509,,0
D10,Tumeur bénigne de la bouche et du larynx,1599,448,236,1151,68,0
D11,Tumeur bénigne des glandes salivaires principales,3340,2935,226,405,33,0
D12,"Tumeur bénigne du côlon, du rectum, de l'anus et du canal anal",100677,93959,36,6718,752,0
D13,Tumeurs bénignes de parties autres et mal définies de l'appareil digestif,6725,3564,317,3161,305,0
D14,Tumeur bénigne de l'oreille moyenne et de l'appareil respiratoire,2979,1288,382,1691,320,0
